FIPS,state,county,pop_2024
18175,Indiana,Washington County,28345
18177,Indiana,Wayne County,66410
18179,Indiana,Wells County,28798
18181,Indiana,White County,24833
18183,Indiana,Whitley County,34885
19000,Iowa,Iowa,3241488
19001,Iowa,Adair County,7431
19003,Iowa,Adams County,3606
19005,Iowa,Allamakee County,14184
19007,Iowa,Appanoose County,12106
19009,Iowa,Audubon County,5562
19011,Iowa,Benton County,25799
19013,Iowa,Black Hawk County,132348
19015,Iowa,Boone County,26729
19017,Iowa,Bremer County,25328
19019,Iowa,Buchanan County,20733
19021,Iowa,Buena Vista County,20816
19023,Iowa,Butler County,14156
19025,Iowa,Calhoun County,9711
19027,Iowa,Carroll County,20407
19029,Iowa,Cass County,13024
19031,Iowa,Cedar County,18231
19033,Iowa,Cerro Gordo County,42493
19035,Iowa,Cherokee County,11658
19037,Iowa,Chickasaw County,11719
19039,Iowa,Clarke County,9524
19041,Iowa,Clay County,16474
19043,Iowa,Clayton County,16931
19045,Iowa,Clinton County,46015
19047,Iowa,Crawford County,16378
19049,Iowa,Dallas County,115343
19051,Iowa,Davis County,9193
19053,Iowa,Decatur County,7656
19055,Iowa,Delaware County,17609
19057,Iowa,Des Moines County,38411
19059,Iowa,Dickinson County,18158
19061,Iowa,Dubuque County,99242
19063,Iowa,Emmet County,9162
19065,Iowa,Fayette County,19152
19067,Iowa,Floyd County,15008
19069,Iowa,Franklin County,10024
19071,Iowa,Fremont County,6494
19073,Iowa,Greene County,8662
19075,Iowa,Grundy County,12405
19077,Iowa,Guthrie County,10774
19079,Iowa,Hamilton County,14856
19081,Iowa,Hancock County,10616
19083,Iowa,Hardin County,16464
19085,Iowa,Harrison County,14626
19087,Iowa,Henry County,19361
19089,Iowa,Howard County,9360
19091,Iowa,Humboldt County,9617
19093,Iowa,Ida County,6810
19095,Iowa,Iowa County,16423
19097,Iowa,Jackson County,19390
19099,Iowa,Jasper County,38107
19101,Iowa,Jefferson County,15781
19103,Iowa,Johnson County,160080
19105,Iowa,Jones County,21116
19107,Iowa,Keokuk County,9855
19109,Iowa,Kossuth County,14408
19111,Iowa,Lee County,32376
19113,Iowa,Linn County,231762
19115,Iowa,Louisa County,10630
19117,Iowa,Lucas County,8758
19119,Iowa,Lyon County,12378
19121,Iowa,Madison County,17161
19123,Iowa,Mahaska County,22034
19125,Iowa,Marion County,34048
19127,Iowa,Marshall County,40392
19129,Iowa,Mills County,14717
19131,Iowa,Mitchell County,10632
19133,Iowa,Monona County,8429
19135,Iowa,Monroe County,7373
19137,Iowa,Montgomery County,10063
19139,Iowa,Muscatine County,42132
19141,Iowa,O'Brien County,14260
19143,Iowa,Osceola County,6036
19145,Iowa,Page County,15038
19147,Iowa,Palo Alto County,8809
19149,Iowa,Plymouth County,25825
19151,Iowa,Pocahontas County,7006
19153,Iowa,Polk County,516185
19155,Iowa,Pottawattamie County,93529
19157,Iowa,Poweshiek County,18454
19159,Iowa,Ringgold County,4608
19161,Iowa,Sac County,9533
19163,Iowa,Scott County,175601
19165,Iowa,Shelby County,11821
19167,Iowa,Sioux County,36554
19169,Iowa,Story County,102498
19171,Iowa,Tama County,16738
19173,Iowa,Taylor County,5825
19175,Iowa,Union County,11955
19177,Iowa,Van Buren County,7217
19179,Iowa,Wapello County,35681
19181,Iowa,Warren County,56343
19183,Iowa,Washington County,22631
19185,Iowa,Wayne County,6622
19187,Iowa,Webster County,36909
19189,Iowa,Winnebago County,10383
19191,Iowa,Winneshiek County,19723
19193,Iowa,Woodbury County,107257
19195,Iowa,Worth County,7307
19197,Iowa,Wright County,12729
20000,Kansas,Kansas,2970606
20001,Kansas,Allen County,12425
20003,Kansas,Anderson County,7908
20005,Kansas,Atchison County,16249
20007,Kansas,Barber County,4070
20009,Kansas,Barton County,24835
20011,Kansas,Bourbon County,14424
20013,Kansas,Brown County,9142
20015,Kansas,Butler County,69158
20017,Kansas,Chase County,2507
20019,Kansas,Chautauqua County,3339
20021,Kansas,Cherokee County,19133
20023,Kansas,Cheyenne County,2646
20025,Kansas,Clark County,1873
20027,Kansas,Clay County,7969
20029,Kansas,Cloud County,8723
20031,Kansas,Coffey County,8301
20033,Kansas,Comanche County,1694
20035,Kansas,Cowley County,34186
20037,Kansas,Crawford County,38904
20039,Kansas,Decatur County,2716
20041,Kansas,Dickinson County,18621
20043,Kansas,Doniphan County,7575
20045,Kansas,Douglas County,121989
20047,Kansas,Edwards County,2731
20049,Kansas,Elk County,2436
20051,Kansas,Ellis County,29007
20053,Kansas,Ellsworth County,6316
20055,Kansas,Finney County,38354
20057,Kansas,Ford County,34072
20059,Kansas,Franklin County,26273
20061,Kansas,Geary County,35459
20063,Kansas,Gove County,2658
20065,Kansas,Graham County,2370
20067,Kansas,Grant County,7097
20069,Kansas,Gray County,5730
20071,Kansas,Greeley County,1152
20073,Kansas,Greenwood County,5871
20075,Kansas,Hamilton County,2488
20077,Kansas,Harper County,5413
20079,Kansas,Harvey County,33642
20081,Kansas,Haskell County,3591
20083,Kansas,Hodgeman County,1673
20085,Kansas,Jackson County,13525
20087,Kansas,Jefferson County,18332
20089,Kansas,Jewell County,2899
20091,Kansas,Johnson County,632276
20093,Kansas,Kearny County,3808
20095,Kansas,Kingman County,6946
20097,Kansas,Kiowa County,2436
20099,Kansas,Labette County,19692
20101,Kansas,Lane County,1482
20103,Kansas,Leavenworth County,84670
20105,Kansas,Lincoln County,2928
20107,Kansas,Linn County,9841
20109,Kansas,Logan County,2694
20111,Kansas,Lyon County,32520
20113,Kansas,McPherson County,30334
20115,Kansas,Marion County,11670
20117,Kansas,Marshall County,9950
20119,Kansas,Meade County,3892
20121,Kansas,Miami County,35737
20123,Kansas,Mitchell County,5803
20125,Kansas,Montgomery County,30459
20127,Kansas,Morris County,5279
20129,Kansas,Morton County,2485
20131,Kansas,Nemaha County,10062
20133,Kansas,Neosho County,15552
20135,Kansas,Ness County,2617
20137,Kansas,Norton County,5335
20139,Kansas,Osage County,15737
20141,Kansas,Osborne County,3353
20143,Kansas,Ottawa County,5853
20145,Kansas,Pawnee County,6012
20147,Kansas,Phillips County,4733
20149,Kansas,Pottawatomie County,26876
20151,Kansas,Pratt County,9137
20153,Kansas,Rawlins County,2432
20155,Kansas,Reno County,61417
20157,Kansas,Republic County,4613
20159,Kansas,Rice County,9284
20161,Kansas,Riley County,72557
20163,Kansas,Rooks County,4748
20165,Kansas,Rush County,2810
20167,Kansas,Russell County,6620
20169,Kansas,Saline County,53459
20171,Kansas,Scott County,4914
20173,Kansas,Sedgwick County,536081
20175,Kansas,Seward County,21276
20177,Kansas,Shawnee County,177942
20179,Kansas,Sheridan County,2397
20181,Kansas,Sherman County,5796
20183,Kansas,Smith County,3541
20185,Kansas,Stafford County,3901
20187,Kansas,Stanton County,2071
20189,Kansas,Stevens County,5035
20191,Kansas,Sumner County,22336
20193,Kansas,Thomas County,7802
20195,Kansas,Trego County,2774
20197,Kansas,Wabaunsee County,7112
20199,Kansas,Wallace County,1472
20201,Kansas,Washington County,5572
20203,Kansas,Wichita County,2072
20205,Kansas,Wilson County,8398
20207,Kansas,Woodson County,3111
20209,Kansas,Wyandotte County,169418
21000,Kentucky,Kentucky,4588372
21001,Kentucky,Adair County,19239
21003,Kentucky,Allen County,22037
21005,Kentucky,Anderson County,24883
21007,Kentucky,Ballard County,7626
21009,Kentucky,Barren County,45609
21011,Kentucky,Bath County,12951
21013,Kentucky,Bell County,23051
21015,Kentucky,Boone County,144135
21017,Kentucky,Bourbon County,20333
21019,Kentucky,Boyd County,47777
21021,Kentucky,Boyle County,31394
21023,Kentucky,Bracken County,8497
21025,Kentucky,Breathitt County,12804
21027,Kentucky,Breckinridge County,21221
21029,Kentucky,Bullitt County,85802
21031,Kentucky,Butler County,12551
21033,Kentucky,Caldwell County,12611
21035,Kentucky,Calloway County,38975
21037,Kentucky,Campbell County,94008
21039,Kentucky,Carlisle County,4777
21041,Kentucky,Carroll County,11111
21043,Kentucky,Carter County,26098
21045,Kentucky,Casey County,15948
21047,Kentucky,Christian County,71006
21049,Kentucky,Clark County,37673
21051,Kentucky,Clay County,19592
21053,Kentucky,Clinton County,9183
21055,Kentucky,Crittenden County,8982
21057,Kentucky,Cumberland County,6047
21059,Kentucky,Daviess County,104457
21061,Kentucky,Edmonson County,12635
21063,Kentucky,Elliott County,7263
21065,Kentucky,Estill County,14002
21067,Kentucky,Fayette County,329437
21069,Kentucky,Fleming County,15591
21071,Kentucky,Floyd County,34532
21073,Kentucky,Franklin County,52442
21075,Kentucky,Fulton County,6282
21077,Kentucky,Gallatin County,8805
21079,Kentucky,Garrard County,18040
21081,Kentucky,Grant County,25722
21083,Kentucky,Graves County,36821
21085,Kentucky,Grayson County,27070
21087,Kentucky,Green County,11552
21089,Kentucky,Greenup County,35273
21091,Kentucky,Hancock County,9013
21093,Kentucky,Hardin County,112826
21095,Kentucky,Harlan County,25052
21097,Kentucky,Harrison County,19525
21099,Kentucky,Hart County,19923
21101,Kentucky,Henderson County,44175
21103,Kentucky,Henry County,16198
21105,Kentucky,Hickman County,4393
21107,Kentucky,Hopkins County,45218
21109,Kentucky,Jackson County,13358
21111,Kentucky,Jefferson County,793881
21113,Kentucky,Jessamine County,56495
21115,Kentucky,Johnson County,22098
21117,Kentucky,Kenton County,174862
21119,Kentucky,Knott County,13438
21121,Kentucky,Knox County,29657
21123,Kentucky,Larue County,15128
21125,Kentucky,Laurel County,63353
21127,Kentucky,Lawrence County,15798
21129,Kentucky,Lee County,7313
21131,Kentucky,Leslie County,9729
21133,Kentucky,Letcher County,20139
21135,Kentucky,Lewis County,12875
21137,Kentucky,Lincoln County,24910
21139,Kentucky,Livingston County,8815
21141,Kentucky,Logan County,28467
21143,Kentucky,Lyon County,9078
21145,Kentucky,McCracken County,67550
21147,Kentucky,McCreary County,16824
21149,Kentucky,McLean County,9126
21151,Kentucky,Madison County,99582
21153,Kentucky,Magoffin County,11118
21155,Kentucky,Marion County,19851
21157,Kentucky,Marshall County,31734
21159,Kentucky,Martin County,10696
21161,Kentucky,Mason County,16956
21163,Kentucky,Meade County,30442
21165,Kentucky,Menifee County,6341
21167,Kentucky,Mercer County,23515
21169,Kentucky,Metcalfe County,10558
21171,Kentucky,Monroe County,11163
21173,Kentucky,Montgomery County,28771
21175,Kentucky,Morgan County,14300
21177,Kentucky,Muhlenberg County,30512
21179,Kentucky,Nelson County,48706
21181,Kentucky,Nicholas County,7816
21183,Kentucky,Ohio County,23933
21185,Kentucky,Oldham County,70525
21187,Kentucky,Owen County,11435
21189,Kentucky,Owsley County,3928
21191,Kentucky,Pendleton County,14844
21193,Kentucky,Perry County,26739
21195,Kentucky,Pike County,55430
21197,Kentucky,Powell County,12928
21199,Kentucky,Pulaski County,66842
21201,Kentucky,Robertson County,2382
21203,Kentucky,Rockcastle County,16226
21205,Kentucky,Rowan County,24675
21207,Kentucky,Russell County,18458
21209,Kentucky,Scott County,61700
21211,Kentucky,Shelby County,50124
21213,Kentucky,Simpson County,20350
21215,Kentucky,Spencer County,20823
21217,Kentucky,Taylor County,26809
21219,Kentucky,Todd County,12757
21221,Kentucky,Trigg County,14559
21223,Kentucky,Trimble County,8591
21225,Kentucky,Union County,13178
21227,Kentucky,Warren County,147936
21229,Kentucky,Washington County,12269
21231,Kentucky,Wayne County,19629
21233,Kentucky,Webster County,12854
21235,Kentucky,Whitley County,37233
21237,Kentucky,Wolfe County,6364
21239,Kentucky,Woodford County,27728
22000,Louisiana,Louisiana,4597740
22001,Louisiana,Acadia Parish,56604
22003,Louisiana,Allen Parish,22501
22005,Louisiana,Ascension Parish,133534
22007,Louisiana,Assumption Parish,20050
22009,Louisiana,Avoyelles Parish,38373
22011,Louisiana,Beauregard Parish,36695
22013,Louisiana,Bienville Parish,12412
22015,Louisiana,Bossier Parish,131102
22017,Louisiana,Caddo Parish,224893
22019,Louisiana,Calcasieu Parish,206861
22021,Louisiana,Caldwell Parish,9393
22023,Louisiana,Cameron Parish,4678
22025,Louisiana,Catahoula Parish,8280
22027,Louisiana,Claiborne Parish,13537
22029,Louisiana,Concordia Parish,17797
22031,Louisiana,De Soto Parish,27274
22033,Louisiana,East Baton Rouge Parish,453022
22035,Louisiana,East Carroll Parish,6892
22037,Louisiana,East Feliciana Parish,19112
22039,Louisiana,Evangeline Parish,31745
22041,Louisiana,Franklin Parish,19107
22043,Louisiana,Grant Parish,22109
22045,Louisiana,Iberia Parish,67540
22047,Louisiana,Iberville Parish,29766
22049,Louisiana,Jackson Parish,14797
22051,Louisiana,Jefferson Parish,427253
22053,Louisiana,Jefferson Davis Parish,31436
22055,Louisiana,Lafayette Parish,254241
22057,Louisiana,Lafourche Parish,95342
22059,Louisiana,LaSalle Parish,14702
22061,Louisiana,Lincoln Parish,48243
22063,Louisiana,Livingston Parish,152886
22065,Louisiana,Madison Parish,9093
22067,Louisiana,Morehouse Parish,23787
22069,Louisiana,Natchitoches Parish,35982
22071,Louisiana,Orleans Parish,362701
22073,Louisiana,Ouachita Parish,157874
22075,Louisiana,Plaquemines Parish,22289
22077,Louisiana,Pointe Coupee Parish,19845
22079,Louisiana,Rapides Parish,125899
22081,Louisiana,Red River Parish,7238
22083,Louisiana,Richland Parish,19643
22085,Louisiana,Sabine Parish,21746
22087,Louisiana,St. Bernard Parish,44783
22089,Louisiana,St. Charles Parish,50400
22091,Louisiana,St. Helena Parish,10857
22093,Louisiana,St. James Parish,19110
22095,Louisiana,St. John the Baptist Parish,39694
22097,Louisiana,St. Landry Parish,80869
22099,Louisiana,St. Martin Parish,51218
22101,Louisiana,St. Mary Parish,46799
22103,Louisiana,St. Tammany Parish,277615
22105,Louisiana,Tangipahoa Parish,139823
22107,Louisiana,Tensas Parish,3844
22109,Louisiana,Terrebonne Parish,103864
22111,Louisiana,Union Parish,20617
22113,Louisiana,Vermilion Parish,57641
22115,Louisiana,Vernon Parish,45819
22117,Louisiana,Washington Parish,45090
22119,Louisiana,Webster Parish,35184
22121,Louisiana,West Baton Rouge Parish,28425
22123,Louisiana,West Carroll Parish,9254
22125,Louisiana,West Feliciana Parish,15155
22127,Louisiana,Winn Parish,13405
23000,Maine,Maine,1405012
23001,Maine,Androscoggin County,115272
23003,Maine,Aroostook County,66776
23005,Maine,Cumberland County,313809
23007,Maine,Franklin County,30902
23009,Maine,Hancock County,56946
23011,Maine,Kennebec County,128461
23013,Maine,Knox County,40981
23015,Maine,Lincoln County,36491
23017,Maine,Oxford County,60039
23019,Maine,Penobscot County,156840
23021,Maine,Piscataquis County,17432
23023,Maine,Sagadahoc County,37582
23025,Maine,Somerset County,51338
23027,Maine,Waldo County,40617
23029,Maine,Washington County,31383
23031,Maine,York County,220143
24000,Maryland,Maryland,6263220
24001,Maryland,Allegany County,67097
24003,Maryland,Anne Arundel County,602350
24005,Maryland,Baltimore County,852425
24009,Maryland,Calvert County,94913
24011,Maryland,Caroline County,34248
24013,Maryland,Carroll County,177108
24015,Maryland,Cecil County,106305
24017,Maryland,Charles County,174478
24019,Maryland,Dorchester County,33138
24021,Maryland,Frederick County,299317
24023,Maryland,Garrett County,28393
24025,Maryland,Harford County,265514
24027,Maryland,Howard County,339668
24029,Maryland,Kent County,19557
24031,Maryland,Montgomery County,1082273
24033,Maryland,Prince George's County,966629
24035,Maryland,Queen Anne's County,53688
24037,Maryland,St. Mary's County,116469
24039,Maryland,Somerset County,25241
24041,Maryland,Talbot County,38244
24043,Maryland,Washington County,157228
24045,Maryland,Wicomico County,106329
24047,Maryland,Worcester County,54337
24510,Maryland,Baltimore city,568271
25000,Massachusetts,Massachusetts,7136171
25001,Massachusetts,Barnstable County,232570
25003,Massachusetts,Berkshire County,128726
25005,Massachusetts,Bristol County,588593
25007,Massachusetts,Dukes County,21061
25009,Massachusetts,Essex County,823938
25011,Massachusetts,Franklin County,70871
25013,Massachusetts,Hampden County,464151
25015,Massachusetts,Hampshire County,165399
25017,Massachusetts,Middlesex County,1668956
25019,Massachusetts,Nantucket County,14670
25021,Massachusetts,Norfolk County,740754
25023,Massachusetts,Plymouth County,542090
25025,Massachusetts,Suffolk County,793144
25027,Massachusetts,Worcester County,881248
26000,Michigan,Michigan,10140459
26001,Michigan,Alcona County,10624
26003,Michigan,Alger County,8695
26005,Michigan,Allegan County,122429
26007,Michigan,Alpena County,28903
26009,Michigan,Antrim County,24536
26011,Michigan,Arenac County,15087
26013,Michigan,Baraga County,8169
26015,Michigan,Barry County,64025
26017,Michigan,Bay County,102651
26019,Michigan,Benzie County,18520
26021,Michigan,Berrien County,152703
26023,Michigan,Branch County,46187
26025,Michigan,Calhoun County,133785
26027,Michigan,Cass County,51550
26029,Michigan,Charlevoix County,26105
26031,Michigan,Cheboygan County,25964
26033,Michigan,Chippewa County,36253
26035,Michigan,Clare County,31405
26037,Michigan,Clinton County,80050
26039,Michigan,Crawford County,13599
26041,Michigan,Delta County,36687
26043,Michigan,Dickinson County,25995
26045,Michigan,Eaton County,109494
26047,Michigan,Emmet County,33949
26049,Michigan,Genesee County,402279
26051,Michigan,Gladwin County,25995
26053,Michigan,Gogebic County,14217
26055,Michigan,Grand Traverse County,96625
26057,Michigan,Gratiot County,41372
26059,Michigan,Hillsdale County,45590
26061,Michigan,Houghton County,38041
26063,Michigan,Huron County,30780
26065,Michigan,Ingham County,290427
26067,Michigan,Ionia County,66250
26069,Michigan,Iosco County,25361
26071,Michigan,Iron County,11709
26073,Michigan,Isabella County,65072
26075,Michigan,Jackson County,160233
26077,Michigan,Kalamazoo County,264780
26079,Michigan,Kalkaska County,18618
26081,Michigan,Kent County,673002
26083,Michigan,Keweenaw County,2161
26085,Michigan,Lake County,13005
26087,Michigan,Lapeer County,89168
26089,Michigan,Leelanau County,22871
26091,Michigan,Lenawee County,97746
26093,Michigan,Livingston County,196976
26095,Michigan,Luce County,6328
26097,Michigan,Mackinac County,11144
26099,Michigan,Macomb County,886175
26101,Michigan,Manistee County,25519
26103,Michigan,Marquette County,67979
26105,Michigan,Mason County,29093
26107,Michigan,Mecosta County,41947
26109,Michigan,Menominee County,23050
26111,Michigan,Midland County,84022
26113,Michigan,Missaukee County,15239
26115,Michigan,Monroe County,156045
26117,Michigan,Montcalm County,69314
26119,Michigan,Montmorency County,9828
26121,Michigan,Muskegon County,177428
26123,Michigan,Newaygo County,51504
26125,Michigan,Oakland County,1296888
26127,Michigan,Oceana County,27014
26129,Michigan,Ogemaw County,20985
26131,Michigan,Ontonagon County,5824
26133,Michigan,Osceola County,23484
26135,Michigan,Oscoda County,8596
26137,Michigan,Otsego County,26083
26139,Michigan,Ottawa County,306235
26141,Michigan,Presque Isle County,13230
26143,Michigan,Roscommon County,23932
26145,Michigan,Saginaw County,187714
26147,Michigan,St. Clair County,160308
26149,Michigan,St. Joseph County,61171
26151,Michigan,Sanilac County,40293
26153,Michigan,Schoolcraft County,8178
26155,Michigan,Shiawassee County,67982
26157,Michigan,Tuscola County,52757
26159,Michigan,Van Buren County,76129
26161,Michigan,Washtenaw County,373875
26163,Michigan,Wayne County,1771063
26165,Michigan,Wexford County,34460
27000,Minnesota,Minnesota,5793151
27001,Minnesota,Aitkin County,16335
27003,Minnesota,Anoka County,376840
27005,Minnesota,Becker County,35444
27007,Minnesota,Beltrami County,46762
27009,Minnesota,Benton County,41881
27011,Minnesota,Big Stone County,5067
27013,Minnesota,Blue Earth County,70700
27015,Minnesota,Brown County,25710
27017,Minnesota,Carlton County,36745
27019,Minnesota,Carver County,112628
27021,Minnesota,Cass County,31442
27023,Minnesota,Chippewa County,12299
27025,Minnesota,Chisago County,59105
27027,Minnesota,Clay County,66848
27029,Minnesota,Clearwater County,8630
27031,Minnesota,Cook County,5571
27033,Minnesota,Cottonwood County,11338
27035,Minnesota,Crow Wing County,68642
27037,Minnesota,Dakota County,453156
27039,Minnesota,Dodge County,21242
27041,Minnesota,Douglas County,39933
27043,Minnesota,Faribault County,13886
27045,Minnesota,Fillmore County,21502
27047,Minnesota,Freeborn County,30314
27049,Minnesota,Goodhue County,47982
27051,Minnesota,Grant County,6109
27053,Minnesota,Hennepin County,1273334
27055,Minnesota,Houston County,18352
27057,Minnesota,Hubbard County,22050
27059,Minnesota,Isanti County,43687
27061,Minnesota,Itasca County,45442
27063,Minnesota,Jackson County,9861
27065,Minnesota,Kanabec County,16608
27067,Minnesota,Kandiyohi County,44674
27069,Minnesota,Kittson County,3992
27071,Minnesota,Koochiching County,11594
27073,Minnesota,Lac qui Parle County,6636
27075,Minnesota,Lake County,10698
27077,Minnesota,Lake of the Woods County,3797
27079,Minnesota,Le Sueur County,29458
27081,Minnesota,Lincoln County,5564
27083,Minnesota,Lyon County,25577
27085,Minnesota,McLeod County,36780
27087,Minnesota,Mahnomen County,5296
27089,Minnesota,Marshall County,8771
27091,Minnesota,Martin County,19561
27093,Minnesota,Meeker County,23491
27095,Minnesota,Mille Lacs County,27577
27097,Minnesota,Morrison County,34520
27099,Minnesota,Mower County,40900
27101,Minnesota,Murray County,8044
27103,Minnesota,Nicollet County,34493
27105,Minnesota,Nobles County,21969
27107,Minnesota,Norman County,6284
27109,Minnesota,Olmsted County,166424
27111,Minnesota,Otter Tail County,60884
27113,Minnesota,Pennington County,13652
27115,Minnesota,Pine County,30319
27117,Minnesota,Pipestone County,9100
27119,Minnesota,Polk County,30413
27121,Minnesota,Pope County,11495
27123,Minnesota,Ramsey County,542015
27125,Minnesota,Red Lake County,3882
27127,Minnesota,Redwood County,15254
27129,Minnesota,Renville County,14453
27131,Minnesota,Rice County,69025
27133,Minnesota,Rock County,9525
27135,Minnesota,Roseau County,15265
27137,Minnesota,St. Louis County,200794
27139,Minnesota,Scott County,157206
27141,Minnesota,Sherburne County,103059
27143,Minnesota,Sibley County,15194
27145,Minnesota,Stearns County,163997
27147,Minnesota,Steele County,37434
27149,Minnesota,Stevens County,9819
27151,Minnesota,Swift County,9666
27153,Minnesota,Todd County,25955
27155,Minnesota,Traverse County,3134
27157,Minnesota,Wabasha County,21574
27159,Minnesota,Wadena County,14437
27161,Minnesota,Waseca County,18684
27163,Minnesota,Washington County,283960
27165,Minnesota,Watonwan County,11204
27167,Minnesota,Wilkin County,6268
27169,Minnesota,Winona County,49973
27171,Minnesota,Wright County,154593
27173,Minnesota,Yellow Medicine County,9373
28000,Mississippi,Mississippi,2943045
28001,Mississippi,Adams County,28674
28003,Mississippi,Alcorn County,34228
28005,Mississippi,Amite County,12451
28007,Mississippi,Attala County,17222
28009,Mississippi,Benton County,7566
28011,Mississippi,Bolivar County,28395
28013,Mississippi,Calhoun County,12754
28015,Mississippi,Carroll County,9378
28017,Mississippi,Chickasaw County,16774
28019,Mississippi,Choctaw County,8091
28021,Mississippi,Claiborne County,8122
28023,Mississippi,Clarke County,15155
28025,Mississippi,Clay County,18213
28027,Mississippi,Coahoma County,20105
28029,Mississippi,Copiah County,27536
28031,Mississippi,Covington County,18015
28033,Mississippi,DeSoto County,195871
28035,Mississippi,Forrest County,78435
28037,Mississippi,Franklin County,7516
28039,Mississippi,George County,25880
28041,Mississippi,Greene County,13675
28043,Mississippi,Grenada County,20931
28045,Mississippi,Hancock County,46492
28047,Mississippi,Harrison County,213730
28049,Mississippi,Hinds County,211975
28051,Mississippi,Holmes County,15560
28053,Mississippi,Humphreys County,7121
28055,Mississippi,Issaquena County,1295
28057,Mississippi,Itawamba County,24198
28059,Mississippi,Jackson County,147002
28061,Mississippi,Jasper County,15799
28063,Mississippi,Jefferson County,6900
28065,Mississippi,Jefferson Davis County,11059
28067,Mississippi,Jones County,65837
28069,Mississippi,Kemper County,8562
28071,Mississippi,Lafayette County,59843
28073,Mississippi,Lamar County,66734
28075,Mississippi,Lauderdale County,70588
28077,Mississippi,Lawrence County,11672
28079,Mississippi,Leake County,21462
28081,Mississippi,Lee County,83012
28083,Mississippi,Leflore County,26157
28085,Mississippi,Lincoln County,34956
28087,Mississippi,Lowndes County,57210
28089,Mississippi,Madison County,114247
28091,Mississippi,Marion County,24008
28093,Mississippi,Marshall County,34374
28095,Mississippi,Monroe County,33483
28097,Mississippi,Montgomery County,9411
28099,Mississippi,Neshoba County,28973
28101,Mississippi,Newton County,21063
28103,Mississippi,Noxubee County,9825
28105,Mississippi,Oktibbeha County,51965
28107,Mississippi,Panola County,32764
28109,Mississippi,Pearl River County,59030
28111,Mississippi,Perry County,11406
28113,Mississippi,Pike County,38980
28115,Mississippi,Pontotoc County,32014
28117,Mississippi,Prentiss County,25489
28119,Mississippi,Quitman County,5542
28121,Mississippi,Rankin County,160573
28123,Mississippi,Scott County,27666
28125,Mississippi,Sharkey County,3234
28127,Mississippi,Simpson County,25597
28129,Mississippi,Smith County,14051
28131,Mississippi,Stone County,19569
28133,Mississippi,Sunflower County,23029
28135,Mississippi,Tallahatchie County,10921
28137,Mississippi,Tate County,28551
28139,Mississippi,Tippah County,21423
28141,Mississippi,Tishomingo County,18553
28143,Mississippi,Tunica County,9157
28145,Mississippi,Union County,28363
28147,Mississippi,Walthall County,13839
28149,Mississippi,Warren County,42105
28151,Mississippi,Washington County,41181
28153,Mississippi,Wayne County,19749
28155,Mississippi,Webster County,10039
28157,Mississippi,Wilkinson County,7820
28159,Mississippi,Winston County,17418
28161,Mississippi,Yalobusha County,12458
28163,Mississippi,Yazoo County,23024
29000,Missouri,Missouri,6245466
29001,Missouri,Adair County,25660
29003,Missouri,Andrew County,18091
29005,Missouri,Atchison County,5139
29007,Missouri,Audrain County,24304
29009,Missouri,Barry County,35618
29011,Missouri,Barton County,11717
29013,Missouri,Bates County,16394
29015,Missouri,Benton County,20614
29017,Missouri,Bollinger County,10610
29019,Missouri,Boone County,192154
29021,Missouri,Buchanan County,83574
29023,Missouri,Butler County,41814
29025,Missouri,Caldwell County,9000
29027,Missouri,Callaway County,45126
29029,Missouri,Camden County,44135
29031,Missouri,Cape Girardeau County,83658
29033,Missouri,Carroll County,8414
29035,Missouri,Carter County,5359
29037,Missouri,Cass County,113873
29039,Missouri,Cedar County,15023
29041,Missouri,Chariton County,7397
29043,Missouri,Christian County,96045
29045,Missouri,Clark County,6623
29047,Missouri,Clay County,263370
29049,Missouri,Clinton County,21721
29051,Missouri,Cole County,77625
29053,Missouri,Cooper County,17122
29055,Missouri,Crawford County,22808
29057,Missouri,Dade County,7622
29059,Missouri,Dallas County,17877
29061,Missouri,Daviess County,8541
29063,Missouri,DeKalb County,9884
29065,Missouri,Dent County,14721
29067,Missouri,Douglas County,12290
29069,Missouri,Dunklin County,27002
29071,Missouri,Franklin County,107256
29073,Missouri,Gasconade County,14655
29075,Missouri,Gentry County,6298
29077,Missouri,Greene County,307942
29079,Missouri,Grundy County,9766
29081,Missouri,Harrison County,8186
29083,Missouri,Henry County,22575
29085,Missouri,Hickory County,8766
29087,Missouri,Holt County,4241
29089,Missouri,Howard County,10150
29091,Missouri,Howell County,40762
29093,Missouri,Iron County,9420
29095,Missouri,Jackson County,727362
29097,Missouri,Jasper County,126479
29099,Missouri,Jefferson County,231888
29101,Missouri,Johnson County,55880
29103,Missouri,Knox County,3740
29105,Missouri,Laclede County,36738
29107,Missouri,Lafayette County,33511
29109,Missouri,Lawrence County,39151
29111,Missouri,Lewis County,9852
29113,Missouri,Lincoln County,65888
29115,Missouri,Linn County,11910
29117,Missouri,Livingston County,14658
29119,Missouri,McDonald County,24054
29121,Missouri,Macon County,15177
29123,Missouri,Madison County,12852
29125,Missouri,Maries County,8506
29127,Missouri,Marion County,28425
29129,Missouri,Mercer County,3452
29131,Missouri,Miller County,25668
29133,Missouri,Mississippi County,11750
29135,Missouri,Moniteau County,15294
29137,Missouri,Monroe County,8890
29139,Missouri,Montgomery County,11511
29141,Missouri,Morgan County,22399
29143,Missouri,New Madrid County,15212
29145,Missouri,Newton County,61519
29147,Missouri,Nodaway County,20503
